song_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,mode,key
07159aMqMbFPiX1U5vtifc,0.519,0.142,92.869,0.0356,0.0969,0.0563,0.748,232773,-10.52,0.621,0,10
0FZ4Dmg8jJJAPJnvBIzD9z,0.603,0.0924,98.043,0.176,0.0521,0,0.861,228760,-5.788,0.504,0,8
4BRj6yNtDZbUJvH0RmZsMe,0.146,0.0996,115.161,0.0431,0.981,0.945,0.626,200712,-19.325,0.0831,1,9
2Xw8hk1RY8FQkO6EyfbHmh,0.258,0.111,170.138,0.0365,0.991,0.932,0.377,84696,-20.639,0.298,0,7
3RcoiHGZJQBynM9Pel5qjI,0.147,0.133,59.989,0.0382,0.965,0.872,0.591,121728,-15.957,0.132,1,0
1QQYBu5Hx1vyWl1OAh8KaY,0.762,0.322,126.35,0.11,0.471,1.77e-06,0.619,216056,-5.689,0.351,1,1
0tsaTSU7uVeP6DK8FEd2xL,0.716,0.0724,113.984,0.125,0.243,0,0.735,150743,-4.308,0.435,0,3
5LdtpdhHYIOOwet1xri2cP,0.74,0.101,176.062,0.191,0.0165,9.94e-05,0.747,158800,-4.325,0.552,0,4
0fea68AdmYNygeTGI4RC18,0.646,0.108,176.089,0.317,0.152,1.85e-05,0.754,242573,-5.795,0.429,1,7
2kd0T6zgABT8P0s2h9QU5O,0.816,0.297,93.37,0.266,0.448,0,0.665,361979,-6.753,0.745,1,0
5IA8Qnaeu9minRHcFUn56F,0.921,0.806,119.957,0.33,0.0768,0,0.516,753780,-7.862,0.439,1,2
7rpC4Lv5jYGnATpt8Cq1JK,0.886,0.277,92.419,0.302,0.0585,0,0.467,328500,-8.732,0.547,0,11
3yMMH6N6J9ZnEFA6YiCK6i,0.932,0.816,93.165,0.245,0.0348,0,0.595,320863,-8.658,0.605,1,7
5NojZ3FN9I2rU0zTNJ2VBt,0.909,0.867,91.056,0.301,0.0253,0,0.465,336740,-8.488,0.485,1,1
4oq8T1qd22TA3q4vGLhWhu,0.868,0.543,90.344,0.263,0.0647,0,0.49,367620,-8.749,0.505,0,11
37h0sxGYkmRhTRFbOssV6I,0.947,0.865,90.376,0.534,0.0664,0,0.458,771700,-8.519,0.419,1,1
1V1z91iFkm5lOGiRpWVNZd,0.93,0.642,92.143,0.626,0.125,0,0.563,478826,-9.317,0.299,1,1
1YG99G1gfic0QEfcuL0yka,0.15,0.103,99.827,0.0325,0.99,0.862,0.418,117978,-14.167,0.0355,0,7
4sCWwjccH7RHLcdulVxdfZ,0.229,0.146,87.426,0.0364,0.991,0.896,0.367,275895,-16.473,0.315,0,0
7hzTK2nQTEDAxV9HoF4Lax,0.54,0.371,174.044,0.236,0.107,0.917,0.557,141178,-6.563,0.369,0,4
52nqPEIImNy1drb58OluBE,0.766,0.634,88.857,0.69,0.205,0,0.466,710867,-11.276,0.342,1,1
0BJl0EEH3ETJgGsnQIn1Dg,0.958,0.806,92.368,0.255,0.0333,7.21e-05,0.558,329860,-7.652,0.284,1,7
5iwXrJApoo7cQLlWp2MXwc,0.92,0.773,83.762,0.397,0.0675,0,0.4,364513,-7.408,0.566,0,6
3swc6WTsr7rl9DqQKQA55C,0.56,0.111,140.06,0.105,0.546,0,0.75,221440,-8.094,0.459,1,8
5lZZmityu9TAjNvSY6GLhR,0.824,0.132,138.039,0.0437,0.15,0,0.738,204360,-5.165,0.386,0,5
6eT7xZZlB2mwyzJ2sUKG6w,0.562,0.0816,130.098,0.0352,0.233,0,0.675,256533,-7.678,0.309,1,7
7zmDFfSrtSd2JeqBqRqUmV,0.8,0.222,168.048,0.514,0.587,0,0.675,281080,-7.641,0.922,1,4
4bTZeO72FwMa6wKOiqoynL,0.79,0.0602,175.988,0.197,0.0711,1.14e-06,0.725,287773,-2.331,0.763,1,0
6MBTLlPwdIUnNi6KYVAsxF,0.679,0.0465,137.951,0.221,0.666,1.2e-05,0.773,183536,-4.773,0.557,1,6
