artist_name,track_name,end_time,ms_played,track_id
Iggy Azalea,Kream (feat. Tyga),2020-02-02 04:03,166626,5mu1uv8RmzDkF8foePK5qa
Duki,She Don't Give a Fo,2020-02-02 04:06,209531,03a359wbiUsjN9h6yzXvmS
Molotov,Frijolero,2020-02-02 04:10,210133,5YyetAy34sgROhslaW3BZc
Duki,Hello Cotto,2020-02-02 04:13,217286,422Avi2VjqZKCVzstKmqog
Akapellah,Ímpetu,2020-02-02 04:16,185306,0r8pwDCv77bCJ2edzbIyJR
Lil Supa,'99,2020-02-02 04:19,181333,709mETGcDrctQgqJKLwCWm
Lil Supa,Valórate,2020-02-02 04:23,237035,3Cvj23hegZs1XDlfPWbJdp
Lil Supa,Mista Uanteik,2020-02-02 04:28,260649,5ZAVPUsb3KumdvhQrFetiY
Lil Supa,光 Luz,2020-02-02 04:32,284000,5aF2hoUHaU9GainPXIZDMV
La Bomba de Tiempo,Bolivia,2020-02-02 04:36,240799,2MuDW3QK1SAk35OnTnDLLp
Guaynaa,Chicharrón,2020-02-02 04:49,28436,5UVa8Qqb9L1dVxl3jKQ5J1
Avenged Sevenfold,Hail to the King,2020-02-02 04:49,375,2LH1K9HQWvPEyMxBk5hCRb
Metallica,One,2020-02-02 04:49,792,5IX4TbIR5mMHGE4wiWwKW0
Metallica,Seek & Destroy - Remastered,2020-02-02 04:56,414720,28WmNsclKsrVmdv3tDmoYU
Metallica,The Unforgiven,2020-02-02 05:03,386493,4aYLAF6ckQ5ooGGGM7sWAa
Metallica,Master Of Puppets,2020-02-02 05:11,515386,2MuWTIM3b0YEAskbeeFE1i
Metallica,Nothing Else Matters,2020-02-02 05:18,388266,0nLiqZ6A27jJri2VCalIUs
Eminem,Marsh,2020-02-02 05:23,32621,34d7sGX6WUqq8f04e7CSNF
Metallica,Enter Sandman,2020-02-02 05:23,301201,5sICkBXVmaCQk5aISGR3x1
Eminem,"Yah Yah (feat. Royce Da 5'9"", Black Thought, Q-Tip & Denaun)",2020-02-02 05:24,12160,5mZXWEH2eh8zMZGCxT5aW0
Eminem,"You Gon’ Learn (feat. Royce Da 5'9"" & White Gold)",2020-02-02 05:24,10250,0GQ5bFTVFFKpwNPc7KwQnB
Eminem,Unaccommodating (feat. Young M.A),2020-02-02 05:26,107345,0q2vG0UVuy6ajjcpkQHdZM
Metallica,Nothing Else Matters,2020-02-02 05:32,388266,0nLiqZ6A27jJri2VCalIUs
Metallica,Enter Sandman,2020-02-02 05:38,331266,5sICkBXVmaCQk5aISGR3x1
System Of A Down,Chop Suey!,2020-02-02 05:41,210240,2DlHlPMa4M17kufBvI2lEN
System Of A Down,Toxicity,2020-02-02 05:45,218933,0snQkGI5qnAmohLE7jTsTn
Avenged Sevenfold,Hail to the King,2020-02-02 05:50,305906,2LH1K9HQWvPEyMxBk5hCRb
Avenged Sevenfold,Shepherd of Fire,2020-02-02 05:55,323800,1fQaoh3imrMunWVZh5kf90
Imagine Dragons,Warriors,2020-02-02 05:58,171040,1sWeSMifj6Z6kZyI6z3bRc
AC/DC,Thunderstruck,2020-02-02 06:03,292880,57bgtoPSgt236HzfBOd8kj
Hara Noda,Dreamin',2020-02-02 06:23,149775,6oJ3j2m4kCHpMZhOY5jx8d
Jonah Aardekker,And Suddenly There Was Love,2020-02-02 06:27,267142,5X6IyZNTHOehDW5BCsAqJH
Steve Devon,Gentle Rain,2020-02-02 06:31,232000,7c0WjlwW6lovElw7y2n3MN
Malcolm Schultze,Budapest Nights,2020-02-02 06:33,139290,5sY8PrKuyiAXV8resJ25Dp
Bladverk Band,To Serena,2020-02-02 07:55,131831,0asSopEMvzlIOOUSbScWXL
Three Days Grace,So What,2020-02-02 13:34,38870,79HeGKO8bLZjvSyVidqTiq
Three Days Grace,Human Race,2020-02-02 13:38,249280,7q096gH9G0OjuUduheqM4l
Three Days Grace,Painkiller,2020-02-02 13:41,179160,6OMO6WdRhSfjMPAiPT94wH
Three Days Grace,Fallen Angel,2020-02-02 13:44,186146,2iptAVf9jZerlywLwiGhak
Three Days Grace,Landmine,2020-02-02 13:48,205520,1QGnq9t4JQTk80eGGn7gPN
Three Days Grace,Tell Me Why,2020-02-02 13:51,210733,0YFA0boMX3HBAZS1QfHKRR
